model_name,user_id,alpha,backspace_rate,bigram_32_16,bigram_65_78,bigram_65_83,bigram_65_85,bigram_66_69,bigram_67_72,bigram_68_65,bigram_68_69,bigram_68_73,bigram_69_32,bigram_69_73,bigram_69_76,bigram_69_78,bigram_69_82,bigram_69_83,bigram_71_69,bigram_72_69,bigram_72_82,bigram_73_69,bigram_73_77,bigram_73_78,bigram_76_65,bigram_76_69,bigram_77_69,bigram_78_68,bigram_78_69,bigram_82_32,bigram_82_69,bigram_83_32,bigram_83_67,bigram_83_69,bigram_83_84,bigram_84_69,bigram_85_83,bigram_8_8,correct,duration_med,pp_mad,pp_med,pp_perc95,pr_med,reaction_time,rp_med,rr_med,bal_accuracy,roc_auc,sens,spec,roc_auc_session,bal_accuracy_session,sens_session,spec_session,bigram_69_72,n_sessions_train,n_trials_train,bigram_73_84,bigram_77_32,bigram_8_69,bigram_85_78
bigram_agnostic,u730,15.0599872803048,5.54466297621903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.763465788793976,100,15.0299423069404,12.7504021314352,12.2004109866422,24.0876565562669,17.8629748622993,25.6660042038162,17.2130362214438,0.81589396880891,0.902371002473714,0.917312661498708,0.714475276119112,0.968622300058375,0.883975481611208,1,0.767950963222417,,45,1285,,,,
only_keystroke,u730,,2.83275914685289,61.5747670463461,0.975134943526544,6.95496272591659,1.05541488119689,2.39719979320294,2.50137689608647,4.5339930377055,7.14006998841674,7.30401274723962,15.8724266090643,0.421659429672686,1.26682852578495,4.18159490027406,3.60428464035216,2.07146048535571,23.3610263691903,1.6374072975716,0.256076952332511,15.2777395076461,1.20926005978288,4.37050135403249,1.36420257234467,0.167927304768478,3.29230096287395,3.4758957545441,0.179630331538938,11.2851861675053,2.5605154783051,6.67425491320277,2.37026840902538,2.66237847920172,10.4475684368912,15.9192159282043,0.220563768854221,5.64423057301474,,100,6.92628342553329,5.45230458185132,4.773779471348,15.0718143343555,,11.602750999254,10.4860712317124,0.845631967645348,0.925256711281975,0.904392764857881,0.786871170432814,0.977488324576765,0.905793928779918,0.916666666666667,0.89492119089317,0.743635799805528,45,1285,0.252841042068335,2.37950932477538,0.726363620714224,3.16601757481017
only_performance,u730,53.1001336455023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.26045013180609,,,,,,100,,,0.574114009125159,0.616603088250102,0.568475452196382,0.579752566053936,0.762697022767075,0.741024518388792,0.75,0.732049036777583,,45,1285,,,,
full,u042,17.4076567532779,4.49934685398066,11.7783910484809,1.10537110615859,5.89833398561365,3.42092581685919,1.60364703758732,12.5103327774463,1.53912691643561,5.89391536949101,4.04693118011573,8.08647032110424,3.39412062048183,1.19690655529705,5.34808244780803,11.840007864112,0.745443209369685,4.49552274578495,0.914246524716901,0.135374280371564,8.30678100158314,0.407892700267725,3.68708626488461,,2.78973087642023,0.461265908210591,,1.2151580811595,6.24262297816069,5.953972595605,2.54082418798168,9.20574588996264,1.34688685968228,0.872707878221173,0.486812550961608,,2.8284730499398,4.48217856042935,100,12.3439368106446,16.1187953689935,13.2316051650425,8.82343665792767,16.0635865184471,40.1469665997143,14.5954690686978,0.776313006480491,0.868738292281928,0.766666666666667,0.785959346294315,0.971884057971014,0.938260869565217,1,0.876521739130435,0.0256620053358367,12,344,,3.36306508994331,0.491495736362288,1.42871241755862
bigram_agnostic,u042,27.1404376392076,10.189308614071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00394365695726,100,28.1038365211825,19.6008268806855,34.3856132433625,16.0063358199603,29.5919269738671,88.0715407414554,21.2964334780697,0.747719121342171,0.851374388739298,0.755555555555556,0.739882687128786,0.946666666666667,0.911739130434783,1,0.823478260869565,,12,344,,,,
only_keystroke,u042,,5.92555995750908,15.880713333903,1.15849434995279,9.00663916149524,3.52381145233289,2.37324001224808,15.5778267060093,1.58217025645407,5.70145824219376,6.74547359200755,12.8641461244914,5.40802587119551,2.01456071802756,9.97526978437466,10.939972364549,1.20419413657275,9.40405095029096,3.05011786037386,0.0486734749895035,11.6583891940876,,8.47309022887613,0.205847056381513,2.55956906243691,1.53238856241117,0.438984954568803,0.429539963249468,11.9872632358923,5.20257323354095,3.85481208423395,14.8744695261155,1.17336216005668,1.57208916929854,1.76298755236679,0.145330209744789,5.96813556034206,,100,17.5068017190081,11.822714466527,22.4828203865495,12.4585441279968,,84.1238296061234,20.8181636198757,0.780326115025639,0.869490865418169,0.8,0.760652230051278,0.973333333333333,0.927391304347826,1,0.854782608695652,0.445857028780654,12,344,0.724550781286852,7.60852606405426,0.591247640254317,3.0736406310493
only_performance,u042,66.1206724485739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.43372043509689,,,,,,100,,,0.595096797465189,0.61779491152347,0.622222222222222,0.567971372708157,0.702753623188406,0.63463768115942,0.666666666666667,0.602608695652174,,12,344,,,,
full,u551,21.0300393762418,2.70338642115153,100,1.69299092155851,4.02661260348978,0.697823452491465,14.7832054265046,4.1821982996999,8.32577506958102,19.939269503977,7.27911782107375,25.0919277659547,0.725982220473021,2.67836882583111,18.7886805569892,60.4978265882446,0.297899616346377,20.0384894761137,8.32522449756699,0.93989126641509,6.76666847892268,6.6095851641507,5.48696308154509,1.40759690339076,1.25630504205284,1.93379435259794,0.0832244251568493,0.206103780035218,5.20100673816567,1.08772847119253,2.27760829260493,7.30872543184696,2.15764392662862,9.73523629130011,19.7394003708703,1.21831570367617,3.26947631261592,0.391110766188134,87.3204706895519,7.36678413874532,18.4408632166828,9.50313623370631,32.6737097538126,27.9048952559205,32.973317044481,19.5497403264184,0.784566008234128,0.867176802090951,0.766467065868264,0.802664950599992,0.979373368146214,0.952567449956484,1,0.905134899912968,5.91901846236164,19,590,3.35476848436363,4.76796513347579,,0.2855148149213
bigram_agnostic,u551,31.2269405803049,11.5541703066501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.942463809641541,100,19.6989793034485,32.5709710610401,25.6872870868169,25.3125874572565,43.105443178805,27.7344222111217,28.4480918061655,0.723682060114166,0.795149149783027,0.74251497005988,0.704849150168452,0.897650130548302,0.880330722367276,1,0.760661444734552,,19,590,,,,
only_keystroke,u551,,0.531065398187924,85.7846194370092,2.0924364824506,4.99439246272617,0.103543337968755,14.4704133531146,4.19761472669732,7.94242118168401,19.6984412586139,6.18422849273892,22.1143257784991,1.2168629458043,1.79779116971455,20.1397308614525,56.4471697455424,1.5507111467053,19.8014890163738,6.71690579763477,0.245773375068272,7.11519782535434,3.68656888056493,2.64090892363949,2.78852936391421,,0.753060637519029,,0.489681152118672,4.34884392055997,0.535981253655721,0.60939025234644,12.4481788214149,0.602646596838358,10.7631915849657,22.3722928295572,1.19098274015425,2.2394676495311,,100,5.75140515267841,16.5804626641927,13.5618160654176,29.8113919049261,,30.8873689266609,17.2336427057953,0.800754436163068,0.869978028573927,0.808383233532934,0.793125638793201,0.983289817232376,0.947780678851175,1,0.89556135770235,3.84271441409685,19,590,2.36790112218534,6.85605706992257,0.548670600642245,1.60733245660586
